"Year","Lowest.Temperature..F.","Highest.Temperature..F.","Warmest.Minimum.Temperature..F.","Coldest.Minimum.Temperature..F.","Average.Minimum.Temperature..F.","Average.Maximum.Temperature..F.","Mean.Temperature..F.","Total.Precipitation..in.","Total.Snowfall..in.","Max.24hr.Precipitation..in.","Max.24hr.Snowfall..in."
1934,6,58,41,16,28.5,40.8,34.6,3.42,0.1,1.14,0.1
1933,13,61,48,28,34,46.6,40.4,1.78,0,0.82,0
1932,24,70,56,33,37.7,48.6,43.2,4.45,0.8,1.33,0.6
1931,11,56,41,24,26.3,39.2,32.7,2.56,0.5,0.93,0.3
1930,10,64,52,22,27,39.5,33.3,2.37,3.5,0.81,1.8
1929,8,62,38,24,25,38.8,31.9,3.33,2.3,0.78,0.6
1928,12,58,44,24,26.9,41,34,1.87,2.7,0.64,1.8
1927,-1,52,40,22,24,37.8,30.9,2.03,5.7,0.44,5.1
1926,5,54,40,23,25.7,38.2,32,2.85,3.1,0.95,2.3
1925,-2,45,33,14,22,34.8,28.4,5.42,27.4,1.92,11.5
1924,5,57,40,18,24.9,40.4,32.6,4.9,2.5,1.44,2.4
1923,9,53,44,21,23.6,36.3,29.9,6.99,24.5,1.68,7.8
1922,7,50,37,16,21.9,34.4,28.2,2.73,9.4,1.38,3.4
1921,4,57,42,16,25.7,40.8,33.2,2.74,3.5,1.75,1.8
1920,-1,51,36,14,16.1,30.8,23.4,2.09,8.2,0.64,2.8
1919,10,61,43,26,29.4,41.8,35.6,3.51,0.3,1.22,0.3
1918,-4,53,29,10,15.6,27.7,21.7,3.53,13.2,1.15,5.9
1917,8,51,40,20,26.1,39.6,32.8,2.96,5.8,0.57,1.8
1916,7,69,53,21,28.3,43.6,36,1.28,3.4,0.3,3
1915,12,58,47,24,28.7,40.2,34.5,7.94,3.8,2.35,1.6
1914,-5,58,42,9,24.8,38.2,31.5,5.27,1.3,1.51,1.1
1913,18,63,45,29,33.5,48.3,40.8,3.43,0.3,0.54,0.2
1912,-3,54,38,8,16.9,30.5,23.7,2.56,13,0.93,3.5
1911,18,56,49,26,30.6,41.9,36.2,2.79,1.3,0.76,1
1910,5,48,40,27,25.7,37.4,31.5,4.64,2.1,1.18,1
1909,5,57,49,24,28.1,40.8,34.5,3.32,11.4,1.5,4.3
1908,8,50,41,18,26.2,39.4,32.9,3.76,10,1.46,10
1907,4,64,49,20,28,41.8,34.9,2.89,11,0.96,6
1906,14,62,50,29,33.3,43.5,38.4,2.69,1.5,0.85,1.5
1905,4,53,42,16,23.6,34.9,29.2,2.77,18.4,0.91,11
1904,-4,54,39,13,19.5,31.1,25.3,2.97,11.1,0.72,7.5
1903,10,51,39,21,24.3,36.7,30.5,4.18,4.5,1.3,4
1902,13,51,40,21,24.7,36.3,30.8,2.27,6.1,0.8,3
1901,8,53,38,27,26.8,38.2,32.6,1.66,2,0.9,1.8
1900,10,57,46,20,25.5,38.8,32.4,4.22,1,1.46,0.5
